composition,melting point(K)
AgCl,723
BeO,2803
Ce4Bi3,1903
Ce5Si3,1673
CeCl3,1086
CsI,2660
Dy5Ge3,2098
Dy5Sn3,2143
DyBi,2323
ErBi,2133
GdBi,2288
HfV2,1823
HoBi,2183
KBr,1007
KCl,1043
La4Bi3,1943
LaCl3,1127
LuBi,2103
Mg1.5Bi,1094
MoSi2,2303
NbCr2,2003
NbNi3,1703
NdBi,2173
NdCl3,1032
Pd3Pb,1497
PdPb2,753
Pr4Bi3,2083
PrCl3,1061
PtGa,1377
Sc5Sn3,2073
Sm2Co17,1611
Sm5Sn3,1778
SmBi,2090
TaC,4242
TbBi,2193
ThO2,3628
ThO2,3651
TmBi,2053
U34Si34.5,1900
UCl3,1115
UO2,3120
ZrOs2,2932
AgCe,1143
AgLa,1153
C20F42,399
C20F42,459
C20F42,434
Ca11Sb10,1396
Ca2Ag7,1004
Ca2Ge,1652
CaNi5,1478
CaPd2,1573
CaPd5,1358
Ce5Ge3,1773
CeGe1.67,1786
CeSi,1743
CeSi2,1893
CoSi,1693
Cs2Te,1104
CsPb,223
Cu2Gd,1133
Cu3As,1100
CuI,878
FeSi,1683
Gd2Co17,1658
GdSi2,2373
Ho5Si3,2193
HoSi,2133
LaF3,1766
Lu5Ge3,2313
Lu5Pb3,1968
Mg9Sn5,1420
NaSn,851
NaSn,854
Nd5Ge3,1853
NdF3,1649
NdGe2,1760
PbI2,679
Pr5Ge3,1763
PrB6,2883
PrGe1.6,1779
PrSi,1930
PrSi2,1985
Pt2In3,1337
SmAl2,1773
SmF3,1572
TbCl3,848
TiH2,1323
TiNi,1583
TiNi3,1653
UN,3100
Y2O3,2680
YbGa2,1373
ZrC,3700
ZrFe2,1932
ZrN,4000
ZrO0.41,2403
ZrO0.41,2243
Ag2Se,1168
C20F42,434
CrB2,2473
CuI,878
HfB2,3523
La3Ni,833
Li2S,1645
Mg1.5Bi,1094
NbB2,3173
Ni3Al,1668
PrGe1.6,1779
PrGe1.6,1773
Sc5Si3,2301
TaB2,3473
TiB2,3253
U3Sn2,1773
VB2,2673
Zr0.50Rh0.50,2163
ZrB2,3313
ZrIr,2323
AgBr,705
Al2O3,2310
CaAl2,1352
CsI,894
Ga2S3,1373
IrSi,1980
KI,954
MgO,3073
NaI,933
RbI,913
SmI2,800
Yb0.5Pb0.5,1389
Yb2Pb,1519
AgI,828
CdI2,654
In0.67Te,941
In2Se3,1156
Li2S,1645
Li7Sn2,1056
NiAl,2700
PdBi,893
SF6,300
AgBr,693
CaSiO3,1821
CaTiO3,2243
Ga0.67Te,1083
GaTe,1123
Hf2Co,1537
Hf2Ni,1444
InTe,969
Li2S,1645
Mg5Ga2,736
MgGa,643
NaBr,1010
NaI,924
NpAs,2473
Pr2I5,949
SnBr4,304
TiNi,1500
TiNi3,1800
AlSb,1338
CaNi5,1484
CaO,2886
CeSb,2533
CoSb,1493
Cu2O,1508
DySb,2443
ErSb,2313
Fe3O4,1811
GdSb,2403
Hf2Pd,1700
Hf2Pt,1940
HfPd,1900
HfPd2,1300
HfPd3,2240
HfPt,2370
HfPt3,2420
HoSb,2433
LaSb,2133
LuSb,2453
LuSb,2453
NdSb,2413
NiO,2230
PrSb,2448
SmSb,2213
TbSb,2433
TmSb,2293
UCo5,1423
Y5Si3,2148
YSb,2626
YbSb,2103
Zr2Pd,1360
Zr5Pt3,2020
ZrPd,1860
ZrPd2,1900
ZrPd3,2050
ZrPt,2370
ZrPt3,2270
Ca2Pb,1476
CaPb3,920
CePb3,1403
CoSb,1488
CsI,899
Fe1.27Sb,1283
GeSe2,1013
LaPb3,1418
LaS,2680
NaI,934
NdPb3,1379
NiSb,1420
SmI2,793
SmS,2520
TbCl3,861
Ti5Ge3,2253
TiPd3,1803
Y3Al2,1373
YAl2,1758
YbI2,1058
BeF2,813
CeF3,1733
HfRh3,2403
La3Al11,1513
LaAl2,1678
NbCo2,1753
NbFe2,1928
Ni3Al,1636
Os2Si3,2113
OsF5,343
PmBr3,898
PmCl3,928
PmI3,968
RuF5,359
TaCo2,1903
TaFe2,2048
TiRh3,2041
ZrFe2,1948
ZrRh,2208
ZrRh3,2173
AgBr,693
AgI,828
AlSb,1331
As2Te3,660
CfCl3,818
CrTe,1495
GaSb,982
GeAs,1022
GeAs2,1013
GeTe,997
Li1.44V6O15,973
MoSi2,2273
NdNi5,1650
SmI2,799
TlYb,1400
WSi2,2438
ZrTe5,720
CeC2,2500
GdSb,2403
HI,222
HfOs2,2973
HgSe,1068
In2S3,1363
KCl,1043
LiTi2O4,1563
NdC2,2500
PbTe,1197
SnS,1154
TiFe2,1700
ZrOs2,2933
ZrRu,2373
BaF2,1641
CaF2,1689
Ce2Fe17,1343
CoO,1520
CsI,3500
Cu10Zr7,1343
Cu51Zr14,1388
Cu5Eu,1120
CuZr,1203
CuZr2,1293
EuF2,1670
MgCl2,984
MnCl2,925
MoO3,1068
MoSi2,2273
Nd2Fe17,1473
Pd5B2,1388
Re2O7,588
Rh2Si,1923
RhSi,1723
SnTe,1077
SrF2,1740
V2O5,963
Y2.1Pd0.9,1188
Y3Pd4,1683
YPd3,1973
Ag2Dy,1233
Ag2Er,1293
Ag2Ho,1263
Ag2Lu,1378
Ag2Sc,1428
Ag2Tb,1183
Ag2Tm,1323
Ag2Y,1233
Ag2Yb,1363
Al2O3,2325
Al2O3,2326
B13C2,2600
B13C2,2600
Ce24Co11,750
Ga2O3,2050
GaSb,1000
Gd2O3,2710
InAs,1215
InP,1330
InSb,800
Li2O,1700
MgO,2100
NaF,1269
Ru0.4Rh0.6,2323
Ru0.5Rh0.5,2518
Sm2O3,2613
TiO2,2088
Tl5Se3,654
TlBr,732
TlCl,702
TlI,712
YB4,2883
Zr5Al4,1803
ZrAl2,1918
ZrAl3,1853
BaCl2,1235
CdBr2,840
CdCl2,842
CdI2,661
CsK2,238
Cu2Gd,1133
Cu2Nd,1113
Cu6Nd,1183
Cu9Gd2,1203
CuGd,1103
InP,1335
PbBr2,638
PbCl2,774
PbCl2,773
SmB6,2853
Ta3P,2373
TlCl,705
Cs2In3,843
Li3N,1086
Sm2.67S4,2043
Sm3S4,2223
SmS,2573
SrS,2703
TiC,3300
ZrCo,1700
Cd2Th,1268
Eu2O3,2633
Gd2O3,2713
In5Bi3,359
KI,959
LaC2,2588
NdC2,2553
Sm2O3,2618
TbSb,2433
VB2,3000
Ag2Ce,1143
Ag51Ce14,1326
AgCe,1158
CaF2,1633
CuBr,761
CuCl,695
Ga0.67Se,1283
HfI4,713
MgO,3073
NaCl,1090
NbAl3,1953
Ru2Si3,2070
WO3,1770
Y2O3,2723
YbPd,1733
YbSn3,1077
AgBr,707
AgCl,728
AgI,808
AgI,828
CaF2,1633
CaSi2,1293
CuI,873
In0.67Te,940
In3Te4,923
InTe,969
KCl,1043
Li3N,1086
NaCl,1073
Nb3Ge,2273
PbCl2,774
PbF2,1128
Sc2O3,2762
ThIr3,2553
ThOs2,2753
Y2O3,2703
Yb2Ga,923
YbGa,1168
YbGa2,1373
Au0.5Pd0.5,1633
AuBr,603
AuBr3,565
BaF2,1641
BiO1.5,1097
Cr0.10Co0.90,1733
Cr0.10Co0.90,1711
Ga2O3,2068
InBi,383
MnF2,1148
MnS,1873
Nb5Ge3,2453
NbGe2,1953
Se0.38S0.62,391
SeBr,278
SeBr4,396
SrGa2,1318
SrSi2,1423
ZnS,2123
ZrB2,3273
Ag0.05Al0.95,890
AgBr,707
AgCl,728
AgI,827
Cd3P2,1014
CdSb,729
CeN,2833
CsCl,919
EuB6,2773
EuB6,2773
GdN,3173
In2O3,2173
InBi,382
LaN,2723
NaBr,1028
NaCl,1074
NaF,1266
NdN,2833
NdSb,2348
PbF2,1095
PrN,2793
UB2,2433
WC,3140
YB2,2373
Zn3P2,1118
Zn3Sb2,838
AgI,825
AgI,828
AuCl3,577
BaF2,1628
CaF2,1691
Cd0.04In0.96,427
CrCl2,1095
CuI,871
Dy5Ru2,1423
DyRu2,1700
Gd5Ru2,1373
GdGa2,1673
GdRu2,1973
HCl,159
HF,189
Li3N,1088
MgCd3,923
PbF2,1102
SrF2,1737
YF3,1418
Al2O3,2313
AlSb,1338
BaBr2,1126
CaBr2,1008
CaCl2,1043
Cd3As2,971
CePd,1403
CsF,976
Cu2O,1515
DCl,158
FeAs,1343
GaAs,1511
GaSb,985
GdPd,1653
HgI2,528
InAs,1215
InSb,803
KF,1131
LaPd,1353
LiF,1120
LuPd,1923
MgCl2,990
MoF6,290
NaF,1268
NdPd,1493
PrPd,1448
RbF,1033
Sm3Pd4,1533
SmPd,1548
SmPd,1543
SmPd3,1893
TbPd,1693
TmPd,1843
WF6,275
Y5Pb3,2033
YRu2,2273
Zn17U2,1243
Zn3As2,1292
BaCl2,1233
CdSb,729
Eu3Pd2,1083
EuPd3,1698
GaSb,982
SrBr2,930
ThBr4,951
YbAl2,1633
YbPb3,1013
YbSn3,1073
Al2O3,2327
CdAs2,894
CdAs2,864
DCl,158
DyPd3,1983
ErPd3,1983
GdPd3,1903
HgIn,259
HgIn,254
HoPd3,2003
NaS2,568
SmPd3,1893
ThCl4,1044
UGa2,1628
YPd3,1973
YbNi,1308
YbNi3,1583
ZnAs2,1040
Al2O3,2323
